2,610,744,987	1,050
4,578,853,915	1,087
4,890,328,815	1,131
9,780,657,630	1,132
12,212,032,815	1,153
12,235,060,455	1,184
13,371,194,527	1,210
17,828,259,369	1,213
31,694,683,323	1,219
63,389,366,646	1,220
75,128,138,247	1,228
133,561,134,663	1,234
2,610,744,987	1,050
4,578,853,915	1,087
4,890,328,815	1,131
9,780,657,630	1,132
12,212,032,815	1,153
12,235,060,455	1,184
13,371,194,527	1,210
17,828,259,369	1,213
31,694,683,323	1,219
63,389,366,646	1,220
75,128,138,247	1,228
133,561,134,663	1,234
158,294,678,119	1,242
166,763,117,679	1,255
202,485,402,111	1,307
404,970,804,222	1,308
426,635,908,975	1,321
568,847,878,633	1,324
674,190,078,379	1,332
881,715,740,415	1,335
989,345,275,647	1,348
1,122,382,791,663	1,356
1,444,338,092,271	1,408
1,899,148,184,679	1,411
2,081,751,768,559	1,437
2,775,669,024,745	1,440
3,700,892,032,993	1,443
3,743,559,068,799	1,549
7,487,118,137,598	1,550
7,887,663,552,367	1,563
10,516,884,736,489	1,566
14,022,512,981,985	1,569
19,536,224,150,271	1,585
26,262,557,464,201	1,588
